"Product ID","Sales QTY","Date"
7,1,2024-01-29 00:00:00.000
4,1,2024-01-07 00:00:00.000
13,2,2024-03-11 00:00:00.000
15,2,2024-03-03 00:00:00.000
11,1,2024-02-27 00:00:00.000
8,1,2024-02-05 00:00:00.000
13,1,2024-01-27 00:00:00.000
5,2,2024-05-19 00:00:00.000
7,12,2024-01-23 00:00:00.000
10,1,2024-05-31 00:00:00.000
3,3,2024-04-18 00:00:00.000
7,3,2024-01-09 00:00:00.000
11,9,2024-01-24 00:00:00.000
8,1,2024-02-25 00:00:00.000
5,2,2024-02-29 00:00:00.000
4,-1,2024-05-09 00:00:00.000
8,-3,2024-01-07 00:00:00.000
8,2,2024-05-23 00:00:00.000
3,2,2024-02-20 00:00:00.000
6,6,2024-05-19 00:00:00.000
5,-3,2024-04-17 00:00:00.000
2,2,2024-02-26 00:00:00.000
8,1,2024-04-24 00:00:00.000
12,1,2024-05-30 00:00:00.000
14,2,2024-03-12 00:00:00.000
6,2,2024-01-02 00:00:00.000
2,1,2024-02-10 00:00:00.000
12,1,2024-04-18 00:00:00.000
5,1,2024-03-28 00:00:00.000
1,1,2024-03-12 00:00:00.000
12,2,2024-02-09 00:00:00.000
10,2,2024-02-25 00:00:00.000
6,13,2024-03-27 00:00:00.000
13,2,2024-01-27 00:00:00.000
12,1,2024-01-24 00:00:00.000
9,2,2024-04-07 00:00:00.000
1,2,2024-01-25 00:00:00.000
11,1,2024-04-01 00:00:00.000
11,1,2024-03-29 00:00:00.000
15,1,2024-03-08 00:00:00.000
10,2,2024-01-12 00:00:00.000
12,2,2024-04-27 00:00:00.000
12,1,2024-05-17 00:00:00.000
15,2,2024-02-01 00:00:00.000
14,1,2024-04-06 00:00:00.000
14,-3,2024-01-21 00:00:00.000
15,8,2024-05-21 00:00:00.000
14,1,2024-03-16 00:00:00.000
3,2,2024-04-02 00:00:00.000
12,1,2024-05-27 00:00:00.000
7,2,2024-02-19 00:00:00.000
4,2,2024-01-18 00:00:00.000
9,2,2024-01-12 00:00:00.000
3,1,2024-02-28 00:00:00.000
5,1,2024-03-15 00:00:00.000
3,-3,2024-01-21 00:00:00.000
