"Product ID","Sales QTY","Supply ID","Supply QTY","costs per PCS","Date","Sale VALUE"
1,13,1,16,989,2024-01-01 00:00:00.000,12857
1,1,1,3,989,2024-01-01 00:00:00.000,989
1,12,1,2,989,2024-01-02 00:00:00.000,1978
1,10,2,8,1062,2024-01-02 00:00:00.000,8496
1,2,3,17,989,2024-01-02 00:00:00.000,1978
1,14,3,15,989,2024-01-02 00:00:00.000,13846
1,14,3,1,989,2024-01-02 00:00:00.000,989
1,13,4,5,1034,2024-01-02 00:00:00.000,5170
1,8,5,7,1029,2024-01-02 00:00:00.000,7203
1,1,6,19,1048,2024-01-02 00:00:00.000,1048
1,1,6,18,1048,2024-01-03 00:00:00.000,1048
1,1,6,17,1048,2024-01-03 00:00:00.000,1048
1,1,6,16,1048,2024-01-03 00:00:00.000,1048
1,2,6,15,1048,2024-01-03 00:00:00.000,2096
1,10,6,13,1048,2024-01-04 00:00:00.000,10480
1,3,6,3,1048,2024-01-05 00:00:00.000,3144
1,11,7,10,1021,2024-01-06 00:00:00.000,10210
1,1,8,12,1049,2024-01-06 00:00:00.000,1049
1,1,8,11,1049,2024-01-07 00:00:00.000,1049
1,-2,8,10,1049,2024-01-08 00:00:00.000,0
1,1,8,12,1049,2024-01-09 00:00:00.000,1049
1,1,8,11,1049,2024-01-09 00:00:00.000,1049
1,3,8,10,1049,2024-01-09 00:00:00.000,3147
1,6,8,7,1049,2024-01-10 00:00:00.000,6294
1,3,8,1,1049,2024-01-10 00:00:00.000,1049
1,2,9,1,963,2024-01-10 00:00:00.000,963
1,1,10,16,1009,2024-01-10 00:00:00.000,1009
1,1,10,15,1009,2024-01-10 00:00:00.000,1009
1,15,10,14,1009,2024-01-11 00:00:00.000,14126
1,1,11,6,996,2024-01-11 00:00:00.000,996
1,1,11,5,996,2024-01-11 00:00:00.000,996
1,2,11,4,996,2024-01-11 00:00:00.000,1992
1,1,11,2,996,2024-01-11 00:00:00.000,996
1,1,11,1,996,2024-01-12 00:00:00.000,996
1,1,12,1,985,2024-01-12 00:00:00.000,985
1,14,13,12,1046,2024-01-14 00:00:00.000,12552
1,2,14,3,1012,2024-01-14 00:00:00.000,2024
1,1,14,1,1012,2024-01-14 00:00:00.000,1012
1,1,15,13,994,2024-01-14 00:00:00.000,994
1,1,15,12,994,2024-01-14 00:00:00.000,994
1,1,15,11,994,2024-01-14 00:00:00.000,994
1,1,15,10,994,2024-01-15 00:00:00.000,994
1,1,15,9,994,2024-01-17 00:00:00.000,994
1,1,15,8,994,2024-01-17 00:00:00.000,994
1,3,15,7,994,2024-01-18 00:00:00.000,2982
1,1,15,4,994,2024-01-18 00:00:00.000,994
1,3,15,3,994,2024-01-18 00:00:00.000,2982
1,1,16,5,1053,2024-01-18 00:00:00.000,1053
1,2,16,4,1053,2024-01-18 00:00:00.000,2106
1,1,16,2,1053,2024-01-18 00:00:00.000,1053
1,1,16,1,1053,2024-01-18 00:00:00.000,1053
